Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PurchasedItems,Chrome 127.0.0.0,,,21-08-2024 05:10:46,21-08-2024 05:11:41,54.882s,PASSED
,,,,,,,
Test Cases/PurchaseItems,Chrome 127.0.0.0,,,21-08-2024 05:10:46,21-08-2024 05:11:17,31.305s,PASSED
"data = findTestData(""LoginData/loginData"")",Chrome 127.0.0.0,,,21-08-2024 05:10:46,21-08-2024 05:10:47,0.516s,PASSED
index = 2,Chrome 127.0.0.0,,,21-08-2024 05:10:47,21-08-2024 05:10:47,0.003s,PASSED
"userName = data.getValue(""userName"", index)",Chrome 127.0.0.0,,,21-08-2024 05:10:47,21-08-2024 05:10:47,0.051s,PASSED
"Password = data.getValue(""Password"", index)",Chrome 127.0.0.0,,,21-08-2024 05:10:47,21-08-2024 05:10:47,0.034s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,21-08-2024 05:10:47,21-08-2024 05:10:49,1.948s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 127.0.0.0,,,21-08-2024 05:10:49,21-08-2024 05:10:50,1.448s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Log in""))",Chrome 127.0.0.0,,,21-08-2024 05:10:50,21-08-2024 05:10:52,1.405s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Username_loginusername""), userName)",Chrome 127.0.0.0,,,21-08-2024 05:10:52,21-08-2024 05:10:53,0.924s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Password_loginpassword""), Password)",Chrome 127.0.0.0,,,21-08-2024 05:10:53,21-08-2024 05:10:53,0.655s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_Log in""))",Chrome 127.0.0.0,,,21-08-2024 05:10:53,21-08-2024 05:10:54,0.316s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Samsung galaxy s6""))",Chrome 127.0.0.0,,,21-08-2024 05:10:54,21-08-2024 05:10:56,2.844s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 05:10:56,21-08-2024 05:10:58,1.112s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 05:10:58,21-08-2024 05:10:59,1.199s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Sony vaio i5""))",Chrome 127.0.0.0,,,21-08-2024 05:10:59,21-08-2024 05:11:00,1.517s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 05:11:00,21-08-2024 05:11:02,1.368s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 05:11:02,21-08-2024 05:11:02,0.841s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_Next""))",Chrome 127.0.0.0,,,21-08-2024 05:11:02,21-08-2024 05:11:03,0.964s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Dell i7 8gb""))",Chrome 127.0.0.0,,,21-08-2024 05:11:03,21-08-2024 05:11:05,1.908s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 05:11:05,21-08-2024 05:11:07,1.399s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/a_Cart""))",Chrome 127.0.0.0,,,21-08-2024 05:11:07,21-08-2024 05:11:09,2.060s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_Place Order""))",Chrome 127.0.0.0,,,21-08-2024 05:11:09,21-08-2024 05:11:11,1.734s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Name_name""), ""sneha"")",Chrome 127.0.0.0,,,21-08-2024 05:11:11,21-08-2024 05:11:11,0.796s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Country_country""), ""india"")",Chrome 127.0.0.0,,,21-08-2024 05:11:11,21-08-2024 05:11:12,0.586s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_City_city""), ""Trivian"")",Chrome 127.0.0.0,,,21-08-2024 05:11:12,21-08-2024 05:11:13,0.569s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Credit card_card""), ""123456789"")",Chrome 127.0.0.0,,,21-08-2024 05:11:13,21-08-2024 05:11:13,0.565s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Month_month""), ""June"")",Chrome 127.0.0.0,,,21-08-2024 05:11:13,21-08-2024 05:11:14,0.572s,PASSED
"setText(findTestObject(""Object Repository/PurchaseItems/Page_STORE/input_Year_year""), ""2024"")",Chrome 127.0.0.0,,,21-08-2024 05:11:14,21-08-2024 05:11:14,0.579s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_Purchase""))",Chrome 127.0.0.0,,,21-08-2024 05:11:14,21-08-2024 05:11:15,0.317s,PASSED
"click(findTestObject(""Object Repository/PurchaseItems/Page_STORE/button_OK""))",Chrome 127.0.0.0,,,21-08-2024 05:11:15,21-08-2024 05:11:17,2.496s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,21-08-2024 05:11:17,21-08-2024 05:11:17,0.241s,PASSED
,,,,,,,
Test Cases/PurchaseItemsWithoutFillTheForm,Chrome 127.0.0.0,,,21-08-2024 05:11:17,21-08-2024 05:11:41,23.390s,PASSED
"data = findTestData(""LoginData/LoginData"")",Chrome 127.0.0.0,,,21-08-2024 05:11:17,21-08-2024 05:11:18,0.041s,PASSED
index = 2,Chrome 127.0.0.0,,,21-08-2024 05:11:18,21-08-2024 05:11:18,0.003s,PASSED
