Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PriceofProduct,Chrome 127.0.0.0,,,21-08-2024 05:12:46,21-08-2024 05:13:17,31.129s,FAILED
,,,,,,,
Test Cases/PriceOfProducts,Chrome 127.0.0.0,,,21-08-2024 05:12:47,21-08-2024 05:13:17,30.886s,FAILED
"data = findTestData(""LoginData/LoginData"")",Chrome 127.0.0.0,,,21-08-2024 05:12:47,21-08-2024 05:12:48,0.583s,PASSED
index = 2,Chrome 127.0.0.0,,,21-08-2024 05:12:48,21-08-2024 05:12:48,0.003s,PASSED
"userName = data.getValue(""userName"", index)",Chrome 127.0.0.0,,,21-08-2024 05:12:48,21-08-2024 05:12:48,0.064s,PASSED
"Password = data.getValue(""Password"", index)",Chrome 127.0.0.0,,,21-08-2024 05:12:48,21-08-2024 05:12:48,0.051s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,21-08-2024 05:12:48,21-08-2024 05:12:50,2.430s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 127.0.0.0,,,21-08-2024 05:12:50,21-08-2024 05:12:52,1.443s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Log in""))",Chrome 127.0.0.0,,,21-08-2024 05:12:52,21-08-2024 05:12:53,1.391s,PASSED
"setText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/input_Username_loginusername""), userName)",Chrome 127.0.0.0,,,21-08-2024 05:12:53,21-08-2024 05:12:54,1.001s,PASSED
"setText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/input_Password_loginpassword""), Password)",Chrome 127.0.0.0,,,21-08-2024 05:12:54,21-08-2024 05:12:55,0.656s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/button_Log in""))",Chrome 127.0.0.0,,,21-08-2024 05:12:55,21-08-2024 05:12:55,0.320s,PASSED
"orgnlPrice1 = getText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/h5_700""))",Chrome 127.0.0.0,,,21-08-2024 05:12:55,21-08-2024 05:12:57,2.131s,PASSED
"orgnlPrice2 = getText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/h5_790""))",Chrome 127.0.0.0,,,21-08-2024 05:12:57,21-08-2024 05:12:57,0.292s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_HTC One M9""))",Chrome 127.0.0.0,,,21-08-2024 05:12:57,21-08-2024 05:12:58,0.730s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 05:12:58,21-08-2024 05:12:59,1.157s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 05:12:59,21-08-2024 05:13:01,1.214s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/h5_790""))",Chrome 127.0.0.0,,,21-08-2024 05:13:01,21-08-2024 05:13:01,0.909s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Sony vaio i5""))",Chrome 127.0.0.0,,,21-08-2024 05:13:01,21-08-2024 05:13:02,0.973s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 05:13:02,21-08-2024 05:13:04,1.502s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 05:13:04,21-08-2024 05:13:05,1.072s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/button_Next""))",Chrome 127.0.0.0,,,21-08-2024 05:13:05,21-08-2024 05:13:06,1.071s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Dell i7 8gb""))",Chrome 127.0.0.0,,,21-08-2024 05:13:06,21-08-2024 05:13:09,2.966s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 05:13:09,21-08-2024 05:13:11,2.000s,PASSED
"click(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/a_Cart""))",Chrome 127.0.0.0,,,21-08-2024 05:13:11,21-08-2024 05:13:14,3.036s,PASSED
"dsplyPrice1 = getText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/td_700""))",Chrome 127.0.0.0,,,21-08-2024 05:13:14,21-08-2024 05:13:17,3.064s,PASSED
"dsplyPrice2 = getText(findTestObject(""Object Repository/PriceOfProducts/Page_STORE/td_790""))",Chrome 127.0.0.0,,,21-08-2024 05:13:17,21-08-2024 05:13:17,0.267s,PASSED
"orgnlPrice1 = orgnlPrice1.replace(""$"", """")",Chrome 127.0.0.0,,,21-08-2024 05:13:17,21-08-2024 05:13:17,0.005s,PASSED
assert orgnlPrice1 == dsplyPrice1,Chrome 127.0.0.0,,,21-08-2024 05:13:17,21-08-2024 05:13:17,0.002s,PASSED
"orgnlPrice2 = orgnlPrice2.replace(""$"", """")",Chrome 127.0.0.0,,,21-08-2024 05:13:17,21-08-2024 05:13:17,0.002s,PASSED
assert orgnlPrice2 == dsplyPrice2,Chrome 127.0.0.0,,,21-08-2024 05:13:17,21-08-2024 05:13:17,0.010s,FAILED
