Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
productAddToCart,Chrome 127.0.0.0,,,21-08-2024 22:55:02,21-08-2024 22:57:14,2m - 11.184s,PASSED
,,,,,,,
Test Cases/ProductAddToCart,Chrome 127.0.0.0,,,21-08-2024 22:55:04,21-08-2024 22:56:05,1m - 1.018s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,21-08-2024 22:55:08,21-08-2024 22:55:19,11.117s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 127.0.0.0,,,21-08-2024 22:55:19,21-08-2024 22:55:22,3.264s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_HTC One M9""))",Chrome 127.0.0.0,,,21-08-2024 22:55:22,21-08-2024 22:55:37,14.656s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:55:37,21-08-2024 22:55:40,2.976s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 22:55:40,21-08-2024 22:55:43,3.187s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/button_Next""))",Chrome 127.0.0.0,,,21-08-2024 22:55:43,21-08-2024 22:55:45,1.798s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Dell i7 8gb""))",Chrome 127.0.0.0,,,21-08-2024 22:55:45,21-08-2024 22:55:48,3.451s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:55:48,21-08-2024 22:55:51,2.885s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 22:55:51,21-08-2024 22:55:54,2.728s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Sony vaio i5""))",Chrome 127.0.0.0,,,21-08-2024 22:55:54,21-08-2024 22:55:56,2.113s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:55:56,21-08-2024 22:55:58,1.954s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Cart""))",Chrome 127.0.0.0,,,21-08-2024 22:55:58,21-08-2024 22:56:00,2.571s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Delete""), 5, STOP_ON_FAILURE)",Chrome 127.0.0.0,,,21-08-2024 22:56:00,21-08-2024 22:56:03,2.557s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,21-08-2024 22:56:03,21-08-2024 22:56:05,2.066s,PASSED
,,,,,,,
Test Cases/ProductAddToCartWithoutLogin,Chrome 127.0.0.0,,,21-08-2024 22:56:05,21-08-2024 22:57:14,1m - 8.656s,PASSED
"data = findTestData(""LoginData/LoginData"")",Chrome 127.0.0.0,,,21-08-2024 22:56:06,21-08-2024 22:56:08,2.125s,PASSED
index = 2,Chrome 127.0.0.0,,,21-08-2024 22:56:08,21-08-2024 22:56:08,0.003s,PASSED
"userName = data.getValue(""userName"", index)",Chrome 127.0.0.0,,,21-08-2024 22:56:08,21-08-2024 22:56:08,0.129s,PASSED
"Password = data.getValue(""Password"", index)",Chrome 127.0.0.0,,,21-08-2024 22:56:08,21-08-2024 22:56:08,0.077s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,21-08-2024 22:56:08,21-08-2024 22:56:10,1.598s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 127.0.0.0,,,21-08-2024 22:56:10,21-08-2024 22:56:47,36.809s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_HTC One M9""))",Chrome 127.0.0.0,,,21-08-2024 22:56:47,21-08-2024 22:56:57,10.453s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:56:57,21-08-2024 22:56:59,1.505s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 22:56:59,21-08-2024 22:57:00,1.813s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/button_Next""))",Chrome 127.0.0.0,,,21-08-2024 22:57:00,21-08-2024 22:57:01,0.959s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Dell i7 8gb""))",Chrome 127.0.0.0,,,21-08-2024 22:57:01,21-08-2024 22:57:04,2.221s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:57:04,21-08-2024 22:57:05,1.238s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Home (current)""))",Chrome 127.0.0.0,,,21-08-2024 22:57:05,21-08-2024 22:57:06,1.120s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Sony vaio i5""))",Chrome 127.0.0.0,,,21-08-2024 22:57:06,21-08-2024 22:57:08,2.140s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Add to cart""))",Chrome 127.0.0.0,,,21-08-2024 22:57:08,21-08-2024 22:57:10,1.391s,PASSED
"click(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Cart""))",Chrome 127.0.0.0,,,21-08-2024 22:57:10,21-08-2024 22:57:11,1.353s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/AddToCart/Page_STORE/a_Delete""), 5, STOP_ON_FAILURE)",Chrome 127.0.0.0,,,21-08-2024 22:57:11,21-08-2024 22:57:13,2.215s,PASSED
"click(findTestObject(""Object Repository/AddProduct/Page_STORE/a_Delete""), OPTIONAL)",Chrome 127.0.0.0,,,21-08-2024 22:57:13,21-08-2024 22:57:13,0.228s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,21-08-2024 22:57:13,21-08-2024 22:57:14,0.211s,PASSED
